515,Laatste wijziging;
516,Gebruiker boven deze gebruiker;
517,Kan niet vermeld worden;
518,Voor deze functie heeft u bij deze gebruiker geen rechten of er ging iets mis;
521,Gebruiker aanpassen;
522,Ja;
523,Nee;
524,Wijzig gebruiker;
525,Website leverancier (incl. http://);
531,Gebruiker zoeken;
532,Helaas konden er geen gebruikers gevonden worden of u heeft geen rechten voor deze functie;
533,Zoek;
541,Gebruiker toevoegen;
542,Helaas kon de gebruiker niet toegevoegd worden of heeft u geen rechten voor deze functie;
543,Gebruiker aanmaken;
544,Wachtwoord;
545,Een veld is leeggelaten of voldoet niet aan de eisen of er ging iets anders mis;
546,De gebruiker is aangemaakt, klik op deze link om de gebruiker rechten te geven;
547,De gebruikersnaam bestaat al, kies een andere gebruikersnaam;
551,Gebruiker verwijderen;
552,Helaas konden er geen gebruikers gevonden worden of u heeft geen rechten voor deze functie;
553,Bevestig verwijderen;
554,De klant is verwijderd;
555,Er vallen gebruikers onder deze klant, verwijderen is daardoor niet mogelijk;
561,Gebruiker overdragen;
562,Helaas konden er geen gebruikers gevonden worden of u heeft geen rechten voor deze functie;
563,Overdragen;
564,Het is niet mogelijk een gebruiker aan een gebruiker onder die gebruiker valt of aan die gebruiker zelf over te dragen;
565,Huidige gebruiker/Klant;
566,Overdragen aan;
567,Het account is succesvol overgedragen;
568,Overdragen mislukt, de oorzaak kan een rechten probleem zijn of een technisch probleem;
569,Admin group (admin setting staat hier los van);
570,Een gebruiker met gebruikers eronder kan niet verwijderd worden;
601,U heeft geen DNS rechten of geen toegang tot dit pakket;
602,Beheer uw DNS instellingen;
603,Kies uw optie aan de linkerkant in het menu;
604,DNS;
605,Domeinnaam overzicht;
606,Domeinnaam toevoegen;
607,Template overzicht;
608,Template toevoegen;
609,Template koppelen;
610,Domeinnaam zoeken;
611,Template zoeken;
612,Globaal records bijwerken;
621,Toevoegen;
622,Overzicht;
623,Zoeken;
624,Pakket;
625,Pakketten;
626,Kies uw optie aan de linkerkant in het menu;
627,U heeft nog geen pakketten die u kunt beheren of u heeft ze niet binnen deze categorie of klant;
628,Pakket type;
629,Gebruiker;
630,Opties;
631,DNS;
632,VPS;
633,Pakket / ID;
634,Openen;
635,Op dit moment is pakketten aanmaken van dit type niet mogelijk;
636,VPS pakket;
637,DNS pakket;
638,Het pakket is aangemaakt;
639,Het aanmaken is mislukt;
640,Volgende stap;
641,Type pakket;
642,Maximum aantal domeinnamen;
643,Maximum aantal templates;
644,Aanmaken;
645,Overdragen;
646,Huidige gebruiker voor dit pakket;
647,Nieuwe gebruiker voor dit pakket;
648,Dit pakket bestaat niet of u heeft hier geen rechten voor;
649,Pakket overdragen;
